slice_display,slice_0based,n_patterns,n_members_ge5,output
1,0,238,30,Slice01_overview_members_ge5.png
2,1,222,21,Slice02_overview_members_ge5.png
3,2,225,14,Slice03_overview_members_ge5.png
4,3,267,25,Slice04_overview_members_ge5.png
5,4,266,31,Slice05_overview_members_ge5.png
6,5,265,33,Slice06_overview_members_ge5.png
7,6,249,36,Slice07_overview_members_ge5.png
8,7,214,29,Slice08_overview_members_ge5.png
9,8,216,22,Slice09_overview_members_ge5.png
10,9,249,19,Slice10_overview_members_ge5.png
11,10,227,12,Slice11_overview_members_ge5.png
12,11,277,16,Slice12_overview_members_ge5.png
