slice_0based,n_modules,pattern_union_patch_pixels,cfu_union_patch_pixels,overlap_union_patch_pixels,image
1,6,21621,18573,16145,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice01_pattern_cfu_overlap_original.png
2,13,17586,18012,14046,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice02_pattern_cfu_overlap_original.png
3,5,2669,1310,1230,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice03_pattern_cfu_overlap_original.png
4,10,15605,12401,9011,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice04_pattern_cfu_overlap_original.png
5,9,7165,15356,5079,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice05_pattern_cfu_overlap_original.png
6,7,16597,10135,6449,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice06_pattern_cfu_overlap_original.png
7,2,411,191,149,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice07_pattern_cfu_overlap_original.png
8,0,0,0,0,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice08_pattern_cfu_overlap_original.png
9,0,0,0,0,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice09_pattern_cfu_overlap_original.png
10,0,0,0,0,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice10_pattern_cfu_overlap_original.png
11,0,0,0,0,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice11_pattern_cfu_overlap_original.png
12,0,0,0,0,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/original_resolution_pattern_cfu_overlap/slice12_pattern_cfu_overlap_original.png
