slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
2,2,5,2,57,77,584,77,7.584415584415584,1.0,1,0,1,0
2,22,16,2,18,1351,25,25,54.04,1.0,1,0,1,0
2,22,29,2,12,1351,60,60,22.516666666666666,1.0,1,0,1,0
2,26,48,5,7,1044,38,38,27.473684210526315,1.0,1,0,1,1
2,37,53,3,7,71,508,71,7.154929577464789,1.0,1,0,1,0
2,44,48,3,7,488,38,38,12.842105263157896,1.0,1,0,1,0
2,51,23,3,14,234,17,17,13.764705882352942,1.0,1,0,1,0
2,66,3,2,135,50,359,50,7.18,1.0,1,0,1,0
2,66,53,2,7,50,508,50,10.16,1.0,1,0,1,0
2,72,43,5,8,1889,16,16,118.0625,1.0,1,0,1,1
2,72,48,5,7,1889,38,38,49.71052631578947,1.0,1,0,1,1
2,72,74,5,5,1889,28,28,67.46428571428571,1.0,1,0,1,1
2,85,72,2,5,424,37,37,11.45945945945946,1.0,1,0,1,0
2,86,43,2,8,327,16,16,20.4375,1.0,1,0,1,0
2,95,48,5,7,177,38,38,4.657894736842105,1.0,1,0,1,1
2,96,23,4,14,1409,17,17,82.88235294117646,1.0,1,0,1,0
2,96,72,4,5,1409,37,37,38.08108108108108,1.0,1,0,1,0
2,96,74,4,5,1409,28,28,50.32142857142857,1.0,1,0,1,0
2,98,16,2,18,1558,25,25,62.32,1.0,1,0,1,0
2,98,22,2,15,1558,58,58,26.862068965517242,1.0,1,0,1,0
2,98,29,2,12,1558,60,60,25.966666666666665,1.0,1,0,1,0
2,98,62,2,6,1558,37,37,42.108108108108105,1.0,1,0,1,0
2,98,77,2,5,1558,52,52,29.96153846153846,1.0,1,0,1,0
2,106,29,3,12,732,60,60,12.2,1.0,1,0,1,0
2,112,43,4,8,293,16,16,18.3125,1.0,1,0,1,0
2,112,74,4,5,293,28,28,10.464285714285714,1.0,1,0,1,0
2,115,43,2,8,422,16,16,26.375,1.0,1,0,1,0
2,118,16,4,18,2385,25,25,95.4,1.0,1,0,1,0
2,118,35,4,10,2385,37,37,64.45945945945945,1.0,1,0,1,0
2,118,54,4,7,2385,103,103,23.155339805825243,1.0,1,0,1,0
2,118,62,4,6,2385,37,37,64.45945945945945,1.0,1,0,1,0
2,118,66,4,6,2385,29,29,82.24137931034483,1.0,1,0,1,0
2,118,77,4,5,2385,52,52,45.86538461538461,1.0,1,0,1,0
2,127,72,4,5,494,37,37,13.35135135135135,1.0,1,0,1,0
2,132,48,4,7,900,38,38,23.68421052631579,1.0,1,0,1,0
2,132,67,4,6,900,71,71,12.67605633802817,1.0,1,0,1,0
2,138,23,6,14,709,17,17,41.705882352941174,1.0,1,0,1,1
2,138,72,6,5,709,37,37,19.16216216216216,1.0,1,0,1,1
2,141,16,3,18,1580,25,25,63.2,1.0,1,0,1,0
2,141,22,3,15,1580,58,58,27.24137931034483,1.0,1,0,1,0
2,141,28,3,12,1580,142,142,11.126760563380282,1.0,1,0,1,0
2,141,29,3,12,1580,60,60,26.333333333333332,1.0,1,0,1,0
2,141,35,3,10,1580,37,37,42.7027027027027,1.0,1,0,1,0
2,147,16,3,18,1668,25,25,66.72,1.0,1,0,1,0
2,147,22,3,15,1668,58,58,28.75862068965517,1.0,1,0,1,0
2,147,28,3,12,1668,142,142,11.746478873239436,1.0,1,0,1,0
2,147,29,3,12,1668,60,60,27.8,1.0,1,0,1,0
2,147,35,3,10,1668,37,37,45.08108108108108,1.0,1,0,1,0
2,147,62,3,6,1668,37,37,45.08108108108108,1.0,1,0,1,0
2,150,16,2,18,2060,25,25,82.4,1.0,1,0,1,0
2,150,48,2,7,2060,38,38,54.21052631578947,1.0,1,0,1,0
2,150,62,2,6,2060,37,37,55.67567567567568,1.0,1,0,1,0
2,150,66,2,6,2060,29,29,71.03448275862068,1.0,1,0,1,0
2,150,77,2,5,2060,52,52,39.61538461538461,1.0,1,0,1,0
2,162,48,2,7,1665,38,38,43.81578947368421,1.0,1,0,1,0
2,164,23,2,14,1351,17,17,79.47058823529412,1.0,1,0,1,0
2,164,72,2,5,1351,37,37,36.513513513513516,1.0,1,0,1,0
2,164,74,2,5,1351,28,28,48.25,1.0,1,0,1,0
2,165,74,3,5,1241,28,28,44.32142857142857,1.0,1,0,1,0
2,167,72,3,5,1235,37,37,33.37837837837838,1.0,1,0,1,0
2,167,74,3,5,1235,28,28,44.107142857142854,1.0,1,0,1,0
2,169,72,2,5,616,37,37,16.64864864864865,1.0,1,0,1,0
2,178,16,3,18,1755,25,25,70.2,1.0,1,0,1,0
2,178,22,3,15,1755,58,58,30.25862068965517,1.0,1,0,1,0
2,178,48,3,7,1755,38,38,46.18421052631579,1.0,1,0,1,0
2,179,23,2,14,484,17,17,28.470588235294116,1.0,1,0,1,0
2,179,72,2,5,484,37,37,13.08108108108108,1.0,1,0,1,0
2,181,43,7,8,327,16,16,20.4375,1.0,1,0,1,1
2,186,72,7,5,1242,37,37,33.567567567567565,1.0,1,0,1,1
2,186,74,7,5,1242,28,28,44.357142857142854,1.0,1,0,1,1
2,188,16,2,18,2114,25,25,84.56,1.0,1,0,1,0
2,188,35,2,10,2114,37,37,57.13513513513514,1.0,1,0,1,0
2,188,54,2,7,2114,103,103,20.524271844660195,1.0,1,0,1,0
2,188,62,2,6,2114,37,37,57.13513513513514,1.0,1,0,1,0
2,188,66,2,6,2114,29,29,72.89655172413794,1.0,1,0,1,0
2,188,77,2,5,2114,52,52,40.65384615384615,1.0,1,0,1,0
2,188,78,2,5,2114,220,220,9.60909090909091,1.0,1,0,1,0
