slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
4,343,10,11,37,4013,11951,3515,2.9780712683777724,0.8759033142287566,1,1,1,1
4,134,51,5,9,106,52,35,2.0384615384615383,0.6730769230769231,1,1,1,1
4,333,10,7,37,10112,11951,6562,1.1818631329113924,0.6489319620253164,1,1,1,1
4,322,10,6,37,10750,11951,6944,1.1117209302325581,0.645953488372093,1,1,1,1
4,236,9,5,39,303,135,86,2.2444444444444445,0.6370370370370371,1,1,1,1
4,239,3,5,62,81,126,50,1.5555555555555556,0.6172839506172839,1,1,1,1
4,171,9,11,39,176,135,78,1.3037037037037038,0.5777777777777777,1,1,1,1
4,34,15,8,30,342,160,90,2.1375,0.5625,1,1,1,1
4,338,10,5,37,11626,11951,6188,1.0279545845518665,0.5322552898675382,1,1,1,1
4,121,3,9,62,51,126,26,2.4705882352941178,0.5098039215686274,1,1,1,1
