slice_0based,cfu_link,cfu_resolved_path,cfu_file_mtime_utc,aqua2_n_events,aqua2_n_cfus,pattern_path,pattern_file_mtime_utc
1,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z01_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100/results/cfu/slice_Z01_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787708810810948734,1356,55,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice01_velocity_decomp/06_patterns/objects.pkl,1787821850522244266
2,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z02_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice02/results/cfu/slice_Z02_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787711993844448489,2218,78,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice02_velocity_decomp/06_patterns/objects.pkl,1787821802625007802
3,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z03_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice03/results/cfu/slice_Z03_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712015380897056,2632,96,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice03_velocity_decomp/06_patterns/objects.pkl,1787821796582982105
4,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z04_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice04/results/cfu/slice_Z04_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712006961721682,2388,92,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice04_velocity_decomp/06_patterns/objects.pkl,1787821864946326377
5,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z05_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice05/results/cfu/slice_Z05_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712344580767891,2131,95,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice05_velocity_decomp/06_patterns/objects.pkl,1787822203442382470
6,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z06_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice06/results/cfu/slice_Z06_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712361827128422,2017,75,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice06_velocity_decomp/06_patterns/objects.pkl,1787822157485863658
7,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z07_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice07/results/cfu/slice_Z07_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712362774148221,1653,68,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice07_velocity_decomp/06_patterns/objects.pkl,1787822137483646295
8,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z08_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice08/results/cfu/slice_Z08_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712698009051534,1372,44,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice08_velocity_decomp/06_patterns/objects.pkl,1787822135524625294
9,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z09_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice09/results/cfu/slice_Z09_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712718134745915,1148,47,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice09_velocity_decomp/06_patterns/objects.pkl,1787822462006712736
10,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/02_current_cfu_input/cfu/slice_Z10_ds7_native_CFU_ot030_min5_group5.mat,/home/cyf/wbi/wbi_code/experiments/Fig5/22_aqua2_cfu_pipeline_ds7/fps3p80843294434_refine1_movAvg25_cut100_all_slices/slice10/results/cfu/slice_Z10_ds7_native_CFU_fps3p80843294434_refine1_movAvg25_cut100.mat,1787712731538203491,1022,39,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/01_motion_pattern_extraction_omega05_mu05/patterns/Slice10_velocity_decomp/06_patterns/objects.pkl,1787822487616073226
