module_id,module_slice_0based,module_pattern_id,local_cfu_id,module_ratio,module_coverage,pattern_n_members,local_cfu_n_events
M_S01_P302_C004,1,302,4,1.44189565909996,0.9247311827956989,5,37
M_S01_P314_C004,1,314,4,1.423415631388583,0.9179116213241075,10,37
M_S01_P168_C002,1,168,2,2.939799331103679,0.725752508361204,7,73
M_S01_P248_C004,1,248,4,1.5934336766129742,0.6499427867265205,5,37
M_S01_P068_C001,1,68,1,1.5847953216374269,0.6432748538011696,5,125
M_S01_P158_C002,1,158,2,2.3578595317725752,0.5317725752508361,5,73
M_S02_P026_C003,2,26,3,2.9080779944289694,0.9220055710306406,5,135
M_S02_P309_C007,2,309,7,1.6997877286970586,0.9173152734256546,5,35
M_S02_P305_C007,2,305,7,1.8546376971434875,0.899194882541083,6,35
M_S02_P095_C067,2,95,67,2.492957746478873,0.8309859154929577,5,6
M_S02_P302_C007,2,302,7,1.6968718466195762,0.8209889001009082,6,35
M_S02_P026_C053,2,26,53,2.0551181102362204,0.7952755905511811,5,7
M_S02_P137_C001,2,137,1,1.8525641025641026,0.717948717948718,5,242
M_S02_P138_C001,2,138,1,2.2724358974358974,0.6346153846153846,6,242
M_S02_P138_C002,2,138,2,2.387205387205387,0.6296296296296297,6,173
M_S02_P011_C053,2,11,53,2.9195402298850577,0.603448275862069,9,7
M_S02_P108_C053,2,108,53,1.2270531400966183,0.5603864734299517,5,7
M_S02_P108_C003,2,108,3,1.1532033426183843,0.5125348189415042,5,135
M_S02_P058_C076,2,58,76,1.6938775510204083,0.5102040816326531,6,5
M_S03_P221_C047,3,221,47,1.8352223190932868,0.9084568439407149,5,9
M_S03_P145_C047,3,145,47,1.9947826086956522,0.8556521739130435,5,9
M_S03_P181_C006,3,181,6,2.0216216216216214,0.7837837837837838,5,71
M_S03_P039_C053,3,39,53,2.45,0.725,9,8
M_S03_P180_C047,3,180,47,1.6721883173496077,0.5815170008718396,5,9
M_S04_P343_C010,4,343,10,2.9780712683777724,0.8759033142287566,11,37
M_S04_P134_C051,4,134,51,2.0384615384615383,0.6730769230769231,5,9
M_S04_P333_C010,4,333,10,1.1818631329113924,0.6489319620253164,7,37
M_S04_P322_C010,4,322,10,1.1117209302325581,0.645953488372093,6,37
M_S04_P236_C009,4,236,9,2.2444444444444445,0.6370370370370371,5,39
M_S04_P239_C003,4,239,3,1.5555555555555556,0.6172839506172839,5,62
M_S04_P171_C009,4,171,9,1.3037037037037038,0.5777777777777777,11,39
M_S04_P034_C015,4,34,15,2.1375,0.5625,8,30
M_S04_P338_C010,4,338,10,1.0279545845518665,0.5322552898675382,5,37
M_S04_P121_C003,4,121,3,2.4705882352941178,0.5098039215686274,9,62
M_S05_P166_C056,5,166,56,1.981818181818182,0.8181818181818182,5,8
M_S05_P311_C007,5,311,7,2.389061224489796,0.7645714285714286,7,39
M_S05_P007_C075,5,7,75,2.5652173913043477,0.7282608695652174,5,6
M_S05_P159_C004,5,159,4,2.5955882352941178,0.7279411764705882,5,53
M_S05_P033_C011,5,33,11,1.5245901639344261,0.6557377049180327,8,29
M_S05_P041_C011,5,41,11,1.8524590163934427,0.5901639344262295,8,29
M_S05_P109_C003,5,109,3,1.1617021276595745,0.5574468085106383,5,94
M_S05_P057_C011,5,57,11,2.2950819672131146,0.5409836065573771,6,29
M_S05_P023_C011,5,23,11,1.9508196721311475,0.5081967213114754,5,29
M_S06_P031_C011,6,31,11,2.039772727272727,0.8068181818181818,6,34
M_S06_P316_C002,6,316,2,1.6413581300119433,0.7445828356935676,9,60
M_S06_P317_C002,6,317,2,1.375051975051975,0.6166320166320166,7,60
M_S06_P187_C032,6,187,32,1.5304878048780488,0.6036585365853658,6,13
M_S06_P228_C028,6,228,28,1.7954545454545454,0.5909090909090909,5,15
M_S06_P291_C002,6,291,2,1.5112266112266113,0.5547817047817047,6,60
M_S06_P298_C002,6,298,2,1.2695426195426196,0.5510395010395011,6,60
M_S07_P185_C009,7,185,9,2.4761904761904763,0.7891156462585034,6,27
M_S07_P070_C050,7,70,50,2.515625,0.609375,7,6
