module_id,module_slice_0based,module_pattern_id,local_cfu_id,module_ratio,module_coverage,source_cfu_slice_0based,source_cfu_id,source_scope,temporal_direction,candidate_upstream,best_lag,window_frames,q_empirical_global,best_lag_binomial_p,pair_score,n_motion_events,k_hit_motion_events_at_best_lag,n_valid_motion_events_at_best_lag
M_S01_P314_C004,1,314,4,1.423415631388583,0.9179116213241075,6,2,cross_slice_cfu,candidate_downstream,0,1,3,0.01890861134873111,7.048667208321227e-06,5.151892993475469,10,7,10
M_S01_P314_C004,1,314,4,1.423415631388583,0.9179116213241075,6,41,cross_slice_cfu,candidate_downstream,0,4,3,0.04303738202607131,1.542991024581933e-05,4.811636600175268,10,4,10
M_S02_P305_C007,2,305,7,1.8546376971434875,0.899194882541083,1,4,cross_slice_cfu,synchronous,0,0,3,0.019271192129016304,7.139814459605448e-06,5.146313073968435,6,5,6
M_S02_P305_C007,2,305,7,1.8546376971434875,0.899194882541083,2,7,intramodule_local_cfu,synchronous,0,0,3,0.011976047904191616,2.951944911624395e-06,5.529891751456305,6,5,6
M_S02_P305_C007,2,305,7,1.8546376971434875,0.899194882541083,3,12,cross_slice_cfu,candidate_downstream,0,1,3,0.018235373912369436,5.416018699776881e-06,5.266319844840657,6,5,6
M_S02_P305_C007,2,305,7,1.8546376971434875,0.899194882541083,5,7,cross_slice_cfu,synchronous,0,0,3,0.01565940284379694,4.68716354428488e-06,5.329089892833251,6,5,6
M_S02_P305_C007,2,305,7,1.8546376971434875,0.899194882541083,6,25,cross_slice_cfu,candidate_downstream,0,3,3,0.0424434150566791,1.4169028915806577e-05,4.84865991340521,6,4,6
M_S02_P305_C007,2,305,7,1.8546376971434875,0.899194882541083,8,2,cross_slice_cfu,synchronous,0,0,3,0.031549803618569315,9.09870534468097e-06,5.041020399070252,6,6,6
M_S04_P343_C010,4,343,10,2.9780712683777724,0.8759033142287566,7,2,cross_slice_cfu,synchronous,0,0,3,0.03268463073852295,1.3129310733735395e-05,4.88175807302649,11,8,11
M_S04_P343_C010,4,343,10,2.9780712683777724,0.8759033142287566,9,1,cross_slice_cfu,synchronous,0,0,3,0.012328284607256075,3.247383972444943e-06,5.488466357122404,11,9,11
M_S04_P333_C010,4,333,10,1.1818631329113924,0.6489319620253164,1,4,cross_slice_cfu,candidate_downstream,0,1,3,0.00408485354871652,5.494604954933326e-07,6.260063526545302,7,6,7
M_S04_P333_C010,4,333,10,1.1818631329113924,0.6489319620253164,2,7,cross_slice_cfu,candidate_downstream,0,1,3,0.03161615699897914,9.856600502467806e-06,5.00627284546337,7,5,7
